date,temp_anom,cpi,oil,pce_nom,unemploy,pop,y10,sp500,div,gold,infl,dloil,pce_real,act,unrate,dy10,ret_eq,ret_bond,ret_gold,temp_shock
2002-06-01,0.4434,179.9,24.081666666666667,7366.1,8393.0,287864.0,4.93,1014.02,16.04,321.18,0.6672227027607391,-5.114857431053332,40.945525291828794,0.5476175517263204,2.9156129283272656,-0.23000000000000043,-6.158242787298065,2.214398108103275,2.0493415581786856,0.07636924602556294
2002-07-01,0.5669,180.1,25.73608695652174,7424.2,8390.0,288105.0,4.65,903.59,15.96,313.29,1.3333334705070143,6.644333694286431,41.222654081066075,0.6745429730840247,2.9121327293868555,-0.27999999999999936,-11.49424770453598,2.539722210791077,-2.5983545699200583,0.19931804577528056
2002-08-01,0.4958,180.7,26.651363636363637,7449.0,8304.0,288360.0,4.26,912.55,15.88,310.26,3.991134499527149,3.494614892632031,41.223021582733814,0.0008915001660891875,2.87973366625052,-0.39000000000000057,0.7990313770747113,3.1749054583727427,-1.3044568939654333,0.1276668455249983
2002-09-01,0.4988,181.0,28.39952380952381,7426.1,8251.0,288618.0,3.87,867.81,15.8,319.14,1.9906004011719602,6.353206010965007,41.028176795580116,-0.4737806997723748,2.8587960556860628,-0.3899999999999997,-5.041283608885897,3.3091166332356674,2.6560388678452895,0.13011564527471597
2002-10-01,0.4967,181.3,27.54304347826087,7469.3,8307.0,288870.0,3.94,854.63,15.89,316.56,1.98730379397567,-3.0622379368497654,41.19856591285163,0.41443782288062003,2.87568802575553,0.06999999999999984,-1.5412052090798478,-0.40310864949797115,-0.9773167400092042,0.1274644450244336
2002-11-01,0.4878,181.3,24.335238095238097,7499.8,8520.0,289106.0,4.05,909.93,15.98,319.07,0.0,-12.382457108457734,41.366795366795365,0.4075066932192062,2.947015973380006,0.10999999999999988,6.416145943121696,-0.5516666666666658,0.7897717371853297,0.11801324477415132
2002-12-01,0.3414,180.9,28.334500000000002,7552.6,8640.0,289313.0,4.03,899.18,16.07,331.92,-2.6504704314671557,15.215471614184262,41.750138197899396,0.9224246679345072,2.9863849878850934,-0.019999999999999574,-0.8187499254595587,0.7183725359555928,4.169218693514587,-0.02893795547613104
2003-01-01,0.6511,181.7,31.183636363636364,7579.5,8520.0,289518.0,4.05,895.84,16.119999999999997,356.859,5.295099601050524,9.58133382604971,41.71436433681893,-0.08572234227655073,2.94282220794562,0.019999999999999574,-0.6635593738038729,-0.26542496675420685,6.803418675451134,0.28021084427358667
2003-02-01,0.4807,183.1,32.771,7573.6,8618.0,289714.0,3.9,837.03,16.169999999999998,358.97,9.210571534007173,4.965049625515761,41.36318951392682,-0.8454194863730891,2.9746577659346802,-0.1499999999999999,-7.396882550432019,0.7699523721660683,-0.17774025214567502,0.10925964402330435
2003-03-01,0.4738,184.2,30.612380952380953,7627.5,8588.0,289911.0,3.81,846.63,16.22,340.55,7.187606568890104,-6.813944454647913,41.40879478827362,0.11019496354016667,2.962288426448117,-0.08999999999999986,0.7009431779538824,0.44603278592582357,-5.866653399029609,0.10180844377302223
2003-04-01,0.4647,183.8,25.06772727272727,7661.7,8842.0,290125.0,3.96,890.03,16.203333333333333,328.18,-2.6086966795439537,-19.98232806096687,41.68498367791077,0.6647667535025992,3.0476518741921588,0.1499999999999999,5.368128585035089,-0.6651086100380031,-3.482580544070313,0.0921572435227399
2003-05-01,0.5142,183.5,25.857727272727274,7669.2,8957.0,290346.0,3.57,935.96,16.186666666666667,355.683,-1.9602509123533451,3.102823085820816,41.79400544959128,0.2611958644967327,3.0849400370592326,-0.3900000000000001,5.339125761580555,3.613354242696113,8.211118880818091,0.14110604327245757
2003-06-01,0.4196,183.7,27.652857142857144,7722.9,9266.0,290584.0,3.33,988.0,16.17,356.352,1.3071896717459452,6.711957143935887,42.04082743603702,0.5888308978603263,3.1887509291633402,-0.23999999999999977,5.438356967550356,2.1085675273545026,0.07897969371111202,0.04595484302217523
2003-07-01,0.4814,183.9,28.348695652173912,7783.8,9011.0,290820.0,3.98,992.54,16.310000000000002,351.02,1.3057672670345966,2.4851965271524445,42.32626427406199,0.6766570266531602,3.098480159548862,0.6499999999999999,0.4864922388679593,-5.031313938919549,-1.6163943881441156,0.10720364277189293
